ListingID,City,RoomType,Bedrooms,Bathrooms,GuestsCapacity,HasWifi,HasAC,DistanceFromCityCenter,PricePerNight
1,Bengaluru,Shared room,2,4,3,0,0,16.45,18150
2,Mumbai,Entire home/apt,5,4,1,1,1,13.11,12877
3,Bengaluru,Shared room,4,4,3,1,0,0.62,7386
4,Mumbai,Private room,5,1,1,1,0,13.64,4974
5,Delhi,Shared room,1,1,6,0,0,4.92,8788
6,Mumbai,Shared room,2,2,2,0,1,6.26,13306
7,Delhi,Private room,2,1,4,1,1,7.11,17408
8,Bengaluru,Entire home/apt,3,2,2,0,1,14.24,5364
9,Goa,Private room,3,1,4,1,1,3.78,18830
10,Bengaluru,Entire home/apt,4,4,9,1,1,4.32,13004
11,Goa,Entire home/apt,4,4,5,0,1,6.91,18612
12,Delhi,Shared room,2,2,3,0,0,0.78,4632
13,Mumbai,Private room,4,4,6,0,0,17.27,5313
14,Mumbai,Shared room,5,1,8,0,1,10.03,19828
15,Mumbai,Entire home/apt,3,3,6,0,1,12.61,15644
16,Bengaluru,Shared room,1,2,9,0,0,3.11,5615
17,Mumbai,Entire home/apt,3,1,2,0,1,19.16,16995
18,Mumbai,Shared room,4,2,6,1,1,9.72,4432
19,Delhi,Entire home/apt,1,2,3,1,1,6.7,12093
20,Bengaluru,Entire home/apt,2,2,4,0,1,13.99,8754
21,Mumbai,Shared room,2,1,8,0,1,15.06,19009
22,Delhi,Shared room,2,1,1,0,0,17.56,1126
23,Mumbai,Shared room,5,3,10,1,0,1.73,11613
24,Mumbai,Private room,2,2,9,0,0,4.83,12224
25,Bengaluru,Shared room,5,3,9,1,1,8.03,7966
26,Bengaluru,Entire home/apt,4,1,3,0,1,6.8,18426
27,Bengaluru,Private room,1,2,10,0,0,12.98,17478
28,Goa,Entire home/apt,1,4,10,0,1,7.18,12105
29,Bengaluru,Private room,1,4,2,1,1,13.09,19473
30,Mumbai,Private room,1,3,6,1,0,19.9,14268
31,Bengaluru,Shared room,2,3,5,1,0,7.8,12420
32,Mumbai,Shared room,3,3,10,1,1,11.88,11979
33,Mumbai,Private room,4,3,4,0,1,18.73,16207
34,Delhi,Shared room,3,1,8,1,1,18.64,3326
35,Goa,Private room,5,4,6,1,1,10.55,17659
36,Mumbai,Entire home/apt,4,1,9,1,0,18.02,19036
37,Goa,Entire home/apt,3,2,5,1,1,11.99,3210
38,Goa,Shared room,5,2,2,1,1,15.55,6767
39,Mumbai,Shared room,1,3,9,1,0,16.01,3524
40,Goa,Private room,2,3,7,1,0,17.66,16858
41,Delhi,Entire home/apt,4,4,4,1,0,12.57,3182
42,Delhi,Entire home/apt,2,3,4,1,0,11.39,11059
43,Delhi,Entire home/apt,1,2,7,0,0,3.0,9653
44,Goa,Shared room,4,4,5,0,1,11.37,12108
45,Mumbai,Private room,5,2,4,1,1,10.34,7409
46,Delhi,Private room,1,1,7,1,0,12.86,14360
47,Goa,Shared room,2,4,5,0,0,1.08,5391
48,Mumbai,Shared room,4,1,4,0,0,12.52,3604
49,Delhi,Shared room,3,2,7,1,0,15.08,12575
50,Mumbai,Private room,2,1,8,0,1,2.3,2493
51,Goa,Private room,1,1,7,1,0,19.44,9656
52,Goa,Private room,5,1,9,0,1,6.88,7709
53,Bengaluru,Entire home/apt,4,3,8,1,1,13.17,9667
